id,name,firstname,lastname,age,nationality,height,weight,injured,photo,logo,country,flag,season,appearences,lineups,minutes,number,position,rating,captain,in,out,bench,total,on,conceded,assists,saves,key,accuracy,blocks,interceptions,won,attempts,success,past,drawn,committed,yellow,yellowred,red,commited,scored,missed,saved,birth_date,birth_place,birth_country
140,La Liga,Arnaut,Danjuma Adam Groeneveld,26,Netherlands,178 cm,74 kg,False,https://media.api-sports.io/football/players/83.png,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,1997-01-31,Lagos,Nigeria
140,La Liga,Edinson Roberto,Cavani Gómez,36,Uruguay,184 cm,71 kg,False,https://media.api-sports.io/football/players/274.png,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,1987-02-14,Salto,Uruguay
140,La Liga,David Josué,Jiménez Silva,37,Spain,170 cm,67 kg,False,https://media.api-sports.io/football/players/634.png,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,1986-01-08,Arguineguín,Spain
140,La Liga,Lorenzo Jesús,Morón García,30,Spain,188 cm,66 kg,False,https://media.api-sports.io/football/players/1584.png,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,1993-12-30,Marbella,Spain
140,La Liga,Vicente,Iborra de la Fuente,35,Spain,190 cm,80 kg,False,https://media.api-sports.io/football/players/1699.png,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,1988-01-16,Moncada,Spain
140,La Liga,Iván,Martín Núñez,25,Spain,178 cm,70 kg,False,https://media.api-sports.io/football/players/1700.png,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,1999-02-14,Bilbao,Spain
140,La Liga,Matthew James,Doherty,31,Republic of Ireland,185 cm,80 kg,False,https://media.api-sports.io/football/players/18742.png,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,1992-01-16,Dublin,Republic of Ireland
140,La Liga,Oriol,Romeu Vidal,33,Spain,183 cm,83 kg,False,https://media.api-sports.io/football/players/18949.png,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-24,Ulldecona,Spain
140,La Liga,Taichi,Hara,24,Japan,191 cm,84 kg,False,https://media.api-sports.io/football/players/32871.png,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,1999-05-05,Hino,Japan
140,La Liga,Iván,Martos Campillo,26,Spain,182 cm,68 kg,False,https://media.api-sports.io/football/players/46910.png,https://media.api-sports.io/football/leagues/140.png,Spain,https://media.api-sports.io/flags/es.svg,2023,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,1997-05-15,Manresa,Spain
